project_name,owner,repo_name,url,commit_hash,star_count,detection_type
fusionpbx/fusionpbx,fusionpbx,fusionpbx,https://github.com/fusionpbx/fusionpbx,203ce4d2a3374a64ae52b41b4626344782b10d9d,925,fallback_includes
AdvancedCustomFields/acf,AdvancedCustomFields,acf,https://github.com/AdvancedCustomFields/acf,796a2fdd3ed8695da3d862de6b0138fb822c8b43,917,primary_functions
sh377c0d3/Payloads,sh377c0d3,Payloads,https://github.com/sh377c0d3/Payloads,ddb895fdb660ca20b2fae0103625950dce4446af,914,fallback_includes
duoergun0729/1book,duoergun0729,1book,https://github.com/duoergun0729/1book,e4e4ae3683d0de6128d665b0672246a21f2cb10e,912,fallback_includes
ushahidi/Ushahidi_Web,ushahidi,Ushahidi_Web,https://github.com/ushahidi/Ushahidi_Web,1d9d46bf8f792fb104b889795c31ddf32d3e73a9,903,fallback_includes
Automattic/WP-Job-Manager,Automattic,WP-Job-Manager,https://github.com/Automattic/WP-Job-Manager,de03a9a6ce4c2c3cd41da741a988e033409424db,899,primary_functions
chamilo/chamilo-lms,chamilo,chamilo-lms,https://github.com/chamilo/chamilo-lms,935c754c80b306e671bb3be11cd669de6391bce9,890,fallback_includes
awesomemotive/easy-digital-downloads,awesomemotive,easy-digital-downloads,https://github.com/awesomemotive/easy-digital-downloads,b1cbb2189a4e7d5fe089876f4f67c1e90980a325,885,fallback_includes
dspurl/tfshop,dspurl,tfshop,https://github.com/dspurl/tfshop,fe8dff4dcb1ccaa4981e840152f6474a52b02167,877,fallback_includes
zblogcn/zblogphp,zblogcn,zblogphp,https://github.com/zblogcn/zblogphp,cef68e2df7a9edf62e4869851b82e96286b72971,855,primary_functions
mattiasgeniar/php-exploit-scripts,mattiasgeniar,php-exploit-scripts,https://github.com/mattiasgeniar/php-exploit-scripts,a6ab857232e15866aab2e37338941fb2e19e60f5,852,fallback_includes
LyLme/lylme_spage,LyLme,lylme_spage,https://github.com/LyLme/lylme_spage,a8204f3c96bb2d0c3526bb4527385663e5c5e497,850,fallback_includes
joanhey/AdapterMan,joanhey,AdapterMan,https://github.com/joanhey/AdapterMan,9551e948f7438cac0ab696b85225114c52a015a9,847,fallback_includes
playsms/playsms,playsms,playsms,https://github.com/playsms/playsms,108b0fd80b337c71314935b01d013f2f53eca039,836,primary_functions
itflow-org/itflow,itflow-org,itflow,https://github.com/itflow-org/itflow,d1dcc5fb7ecf3da8540997b730b391c553f0a744,827,fallback_includes
ClassicPress/ClassicPress,ClassicPress,ClassicPress,https://github.com/ClassicPress/ClassicPress,8fafb89132dbbfce1dae848d801906bb68736d9c,823,primary_functions
phpList/phplist3,phpList,phplist3,https://github.com/phpList/phplist3,998fde417f3f14bb1f251084d37cff7308dddf03,823,fallback_includes
boxbilling/boxbilling,boxbilling,boxbilling,https://github.com/boxbilling/boxbilling,3d4aea2bea51667d1c953f804f11e6cd1d9f97f1,821,fallback_includes
susers/Writeups,susers,Writeups,https://github.com/susers/Writeups,2b7977525e55889777895ac24b38ec87ca923d70,819,primary_functions
wehaox/Typecho-Butterfly,wehaox,Typecho-Butterfly,https://github.com/wehaox/Typecho-Butterfly,fa40a9526e9cf46e1c793faf61e8946803424ccd,819,fallback_includes
concretecms/concretecms,concretecms,concretecms,https://github.com/concretecms/concretecms,7ee53067e651e949e190620c3cbab3db598ce9a1,815,fallback_includes
chevereto/chevereto,chevereto,chevereto,https://github.com/chevereto/chevereto,fad8a342fe901cd0135f67a1854881073aa4e928,809,fallback_includes
apereo/phpCAS,apereo,phpCAS,https://github.com/apereo/phpCAS,690d431005e4f88651499458469536201623b057,804,primary_functions
taksssss/iptv-tool,taksssss,iptv-tool,https://github.com/taksssss/iptv-tool,ee73814ff3a5105a1971e7d9e51eab0414df6a6a,803,fallback_includes
RackTables/racktables,RackTables,racktables,https://github.com/RackTables/racktables,f14f64e65ac8d806b1f64a981acb3c6870eeae37,792,primary_functions
gyxuehu/EwoMail,gyxuehu,EwoMail,https://github.com/gyxuehu/EwoMail,db920d8ba0a851e19b6a6547085bb78451e4bc9d,782,fallback_includes
